model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,4,400,401,841,7,7,2.0,3364,3.009184335541785e-15,0.0,0.0058150338931118525,"{""100.0"": 66.82687272315047, ""1000.0"": 29.09977577545663, ""10000.0"": 8.652760697196177, ""100000.0"": 0.0058150338931118525, ""1000000.0"": 0.024414567994270987, ""inf"": 0.26532003598904763}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0007504488263504527,0.005784900339271576,6.304141177052786e-07,3.6039286611456755e-05,0.45944459800375625,1194,1604,98948219432616.58,0.0005882048934847459,0.005785012598558784,True,2496.880858063113,ball,100000.0,q,Qratio-1
plate,4,400,401,841,7,7,2.0,3364,3.009184335541785e-15,0.0,0.003953479994037782,"{""1e-05"": 24.16676088956523, ""1e-06"": 4.615646537944663, ""1e-08"": 0.0799502917461437, ""1e-10"": 0.003953479994037782, ""1e-12"": 0.01738545348939749, ""1e-14"": 0.3803026459916415}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0023538684242261068,0.0038949534963349996,1.4098570413837237e-06,0.00018860140943020222,0.1127060349972453,570,1604,9924382493.245289,0.0006523458005218689,0.0038995170508989052,True,1428.537623308501,ridge,1e-10,q,Qratio-1
plate,4,400,401,841,7,7,2.0,3364,3.009184335541785e-15,0.0,0.004271369385878462,"{""1e-06"": 5.285126155738098, ""1e-08"": 0.084162213604845, ""1e-10"": 0.004271369385878462, ""1e-12"": 0.043804759114756266, ""1e-14"": 0.26532003598904763}",0.1764912388367556,0.03519211925547657,500023,500031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.0024753739646089764,0.004182451802684081,1.4393290945376779e-06,0.00018481177486994832,0.11407970200525597,570,1604,9924382493.245289,0.0008482187865278487,0.004186532989707103,False,1444.6602752339431,tsvd,1e-10,q,Qratio-1
plate,5,400,401,841,7,7,2.0,3364,3.9057355655364296e-15,0.0,0.007958421936848674,"{""100.0"": 67.4401063294187, ""1000.0"": 29.606931933906427, ""10000.0"": 8.819924829880591, ""100000.0"": 0.007958421936848674, ""1000000.0"": 0.2570610847644913, ""inf"": 0.9577892299003007}",0.1764912388367556,0.03519211925547657,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.001482546804465919,0.007940105206075614,1.0373227011538687e-06,0.00010337612475575954,0.44338504699408077,1196,1604,98476441685604.47,0.0005304295905951349,0.007940778129800543,True,2496.8808367040738,ball,100000.0,q,Qratio-1
plate,5,400,401,841,7,7,2.0,3364,3.9057355655364296e-15,0.0,0.008357489329857597,"{""1e-05"": 25.26584384217539, ""1e-06"": 4.711399536836405, ""1e-08"": 0.1558697420381886, ""1e-10"": 0.008357489329857597, ""1e-12"": 0.010314968086831302, ""1e-14"": 2.5555654308386115}",0.1764912388367556,0.03519211925547657,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.005497732639118369,0.008256465406137468,2.905799656474466e-06,0.0004551187463302653,0.13133531500352547,562,1604,9978591803.165884,0.0012130065571590014,0.008268999581328202,True,1413.1682462815104,ridge,1e-10,q,Qratio-1
plate,5,400,401,841,7,7,2.0,3364,3.9057355655364296e-15,0.0,0.005984395728245101,"{""1e-06"": 5.296606971293368, ""1e-08"": 0.16845003476984263, ""1e-10"": 0.005984395728245101, ""1e-12"": 0.019248353920136848, ""1e-14"": 0.9577892299003007}",0.1764912388367556,0.03519211925547657,600023,600031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.0049321148510520895,0.005797875177510571,2.5126930960530726e-06,0.00039255734691260506,0.13358950699330308,562,1604,9978591803.165884,0.0014290772619666354,0.005811149442632525,False,1430.5410209466693,tsvd,1e-10,q,Qratio-1
plate,6,400,401,841,7,7,2.0,3364,1.950018053910315e-15,0.0,0.020846673133944955,"{""100.0"": 67.96660432327918, ""1000.0"": 29.24166033437783, ""10000.0"": 9.292053509579413, ""100000.0"": 0.020846673133944955, ""1000000.0"": 0.11438295307494793, ""inf"": 2.4338231163272632}",0.1764912388367556,0.03519211925547657,700023,700031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00102499959726229,0.020832937505154872,1.9072521803855134e-06,6.602039439610952e-05,0.43680993499583565,1181,1604,98574020262810.92,0.0007495545514127354,0.02083304211549923,True,2496.880864524271,ball,100000.0,q,Qratio-1
plate,6,400,401,841,7,7,2.0,3364,1.950018053910315e-15,0.0,0.006595860842305426,"{""1e-05"": 27.043902024747894, ""1e-06"": 4.669901614577013, ""1e-08"": 0.1305280148472905, ""1e-10"": 0.006595860842305426, ""1e-12"": 0.03396867768182757, ""1e-14"": 1.42322917879073}",0.1764912388367556,0.03519211925547657,700023,700031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0054595614626413436,0.006085643207245305,2.6992556877062247e-06,0.0004017480629009468,0.12149607198080048,557,1604,9851079651.7281,0.002511369706849726,0.006098889632706562,True,1411.3649746487677,ridge,1e-10,q,Qratio-1
plate,6,400,401,841,7,7,2.0,3364,1.950018053910315e-15,0.0,0.0062576372061110015,"{""1e-06"": 5.303775492697851, ""1e-08"": 0.11886865227079595, ""1e-10"": 0.0062576372061110015, ""1e-12"": 0.04196612857855526, ""1e-14"": 2.4338231163272632}",0.1764912388367556,0.03519211925547657,700023,700031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.0047300037034651585,0.005978157839608314,1.9501541214482053e-06,0.00033477802750352554,0.12243968198890798,557,1604,9851079651.7281,0.0018187439552204037,0.005987524320031568,False,1430.7851793618868,tsvd,1e-10,q,Qratio-1
plate,7,400,401,841,7,7,2.0,3364,4.783149150353831e-15,0.0,0.0030842568159380156,"{""100.0"": 66.65655685497845, ""1000.0"": 28.618169856664274, ""10000.0"": 8.478226697711433, ""100000.0"": 0.0030842568159380156, ""1000000.0"": 0.009903543321647267, ""inf"": 0.01744524432335264}",0.1764912388367556,0.03519211925547657,800023,800031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.0005152156109058869,0.0030585081045166646,8.744163766876429e-07,2.7659059694559013e-05,0.44631520999246277,1200,1604,98389704193580.4,0.0003948989843388011,0.003058633166788281,True,2496.880845249412,ball,100000.0,q,Qratio-1
