model,run,N,Q,K,activation_power,ritz_degree,ritz_ratio,projection_samples,projection_gram_residual,boundary_residual,validation_score,hyperparameter_scores,parameter_covering_radius,parameter_separation,projection_seed,training_seed,system_backend,direct_solver,direct_rcond,manufactured_solution,nu,name,r_c,r_e,abs_u,abs_M,wall_time,rank,columns,condition_estimate,w_h2_error,M_hdivdiv_error,coefficient_ball_active,coefficient_norm,algorithm,hyperparameter,study,configuration
plate,9,200,804,441,7,7,2.0,2048,1.54257555763637e-15,0.0,0.015133170496734034,"{""1e-05"": 26.878700933607973, ""1e-06"": 5.153068732368459, ""1e-08"": 0.15420814851934989, ""1e-10"": 0.015133170496734034, ""1e-12"": 0.01577439113361043, ""1e-14"": 0.7521544038638114}",0.24625689035747356,0.05114860741649987,1000023,1000031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.003314483405890147,0.014972075496097128,7.137767730523696e-06,0.00020421694470384503,0.0785404939961154,460,804,9825686805.37119,0.0022006572022654487,0.014973468176121931,True,3039.1783110761166,ridge,1e-10,main,N-200
plate,9,200,804,441,7,7,2.0,2048,1.54257555763637e-15,0.0,0.015329158694071338,"{""1e-06"": 5.479598706126356, ""1e-08"": 0.10041728725586815, ""1e-10"": 0.015329158694071338, ""1e-12"": 0.016702988635151593, ""1e-14"": 0.7774192403022797}",0.24625689035747356,0.05114860741649987,1000023,1000031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00401342590316817,0.015108744615566693,6.501700449311843e-06,0.00023187946037322494,0.07935181097127497,460,804,9825686805.37119,0.002586074257571046,0.015110523880480072,False,3061.5756084324735,tsvd,1e-10,main,N-200
plate,0,400,1604,841,7,7,2.0,3364,5.900793522345558e-15,0.0,0.0008212650730178612,"{""100.0"": 66.31023794718787, ""1000.0"": 28.325173837526584, ""10000.0"": 8.395422186701273, ""100000.0"": 0.0008212650730178612, ""1000000.0"": 0.0009920627333767922, ""inf"": 0.0034140633066191096}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00013004649674012945,0.0008132161958408826,3.0874196115406557e-07,5.624660638955057e-06,0.8130923830030952,1328,1604,99392268137295.62,0.00011651497186792814,0.000813235647266658,True,2496.880850121036,ball,100000.0,main,N-400
plate,0,400,1604,841,7,7,2.0,3364,5.900793522345558e-15,0.0,0.000830658056714133,"{""1e-05"": 22.621921622587838, ""1e-06"": 4.380270190864146, ""1e-08"": 0.045797817373089536, ""1e-10"": 0.0009659745496196018, ""1e-12"": 0.000830658056714133, ""1e-14"": 0.0027587631452059133}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00013253409450940366,0.0008218051109883176,2.8100345148268836e-07,5.029328531990551e-06,0.4605123380024452,1030,1604,995866449542.0358,0.0001233437192295525,0.0008218205002261769,True,5215.175770493273,ridge,1e-12,main,N-400
plate,0,400,1604,841,7,7,2.0,3364,5.900793522345558e-15,0.0,0.000843592536881427,"{""1e-06"": 4.6889877875354085, ""1e-08"": 0.03298263095169945, ""1e-10"": 0.0010204235292509346, ""1e-12"": 0.000843592536881427, ""1e-14"": 0.0034140633066191096}",0.1764912388367556,0.03519211925547657,100023,100031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.00013850686545893978,0.000834428675363359,2.8703065069584834e-07,5.374047814561118e-06,0.4646081899991259,1030,1604,995866449542.0358,0.00012746671182396963,0.0008344459806713453,False,4843.910459143143,tsvd,1e-12,main,N-400
plate,1,400,1604,841,7,7,2.0,3364,5.525414034298001e-15,0.0,0.0007720242621117578,"{""100.0"": 66.85688774713385, ""1000.0"": 28.584313888439315, ""10000.0"": 8.449551892661068, ""100000.0"": 0.0007720242621117578, ""1000000.0"": 0.00085680054621884, ""inf"": 0.009339919259105278}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00012546761822659748,0.0007649072357002228,9.230453122099924e-08,5.833187368699535e-06,0.8181680639681872,1325,1604,98234790689240.89,0.00011063141032940032,0.0007649294773385548,True,2496.880844913459,ball,100000.0,main,N-400
plate,1,400,1604,841,7,7,2.0,3364,5.525414034298001e-15,0.0,0.0007793167531273533,"{""1e-05"": 23.38743046479963, ""1e-06"": 4.417182524360938, ""1e-08"": 0.05145788838969894, ""1e-10"": 0.0010047298775013123, ""1e-12"": 0.0007793167531273533, ""1e-14"": 0.006201138144742898}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.00011370884369489196,0.0007727098966277398,1.0254974580117615e-07,4.028456202431746e-06,0.46025940697290935,1028,1604,983849772839.3232,0.00010834447323842301,0.0007727203975603512,True,4977.445218118845,ridge,1e-12,main,N-400
plate,1,400,1604,841,7,7,2.0,3364,5.525414034298001e-15,0.0,0.0007915560470047828,"{""1e-06"": 4.698196355564701, ""1e-08"": 0.038605732362098286, ""1e-10"": 0.0010552973861740825, ""1e-12"": 0.0007915560470047828, ""1e-14"": 0.009339919259105278}",0.1764912388367556,0.03519211925547657,200023,200031,direct,streaming_tsqr,1e-14,trig,0.3,LS(tsvd),0.0001133908176269033,0.0007851919012425107,1.0311600486004738e-07,3.879822249518151e-06,0.46354589497786947,1028,1604,983849772839.3232,0.00010824181093300161,0.0007852014867519779,False,4604.340496089497,tsvd,1e-12,main,N-400
plate,2,400,1604,841,7,7,2.0,3364,2.5343654785253313e-15,0.0,0.0008000008023096031,"{""100.0"": 66.27435982031675, ""1000.0"": 28.326070040222984, ""10000.0"": 8.364660889489375, ""100000.0"": 0.0008000008023096031, ""1000000.0"": 0.0009921383494918754, ""inf"": 0.003098729315912802}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ball),0.00013665469031777107,0.0007913564563306125,1.1365489579842303e-07,6.931577296457916e-06,0.8146926809858996,1319,1604,99757391696280.31,0.00011911024406284246,0.0007913868129681979,True,2496.8808501516132,ball,100000.0,main,N-400
plate,2,400,1604,841,7,7,2.0,3364,2.5343654785253313e-15,0.0,0.0007702874271675124,"{""1e-05"": 22.89355385629026, ""1e-06"": 4.378831033604873, ""1e-08"": 0.04699859807626778, ""1e-10"": 0.0010166046319421574, ""1e-12"": 0.0007702874271675124, ""1e-14"": 0.0035868347618628203}",0.1764912388367556,0.03519211925547657,300023,300031,direct,streaming_tsqr,1e-14,trig,0.3,LS(ridge),0.0001253086395609775,0.0007624345647709562,1.0782651730916867e-07,5.526006715656069e-06,0.4101006629643962,1032,1604,998979624783.8658,0.00011381657998234117,0.0007624545903250232,True,4801.723883314789,ridge,1e-12,main,N-400
