model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
elasticity-3d,div_free,3,1,5,800,1728,7,2.0,7.0,2.3333333333333335,2.0,0.0006931408744675137,0.020558942828295557,7.096834452507309e-06,0.016945105978880853,0.016945105978880853,0.006662064133481144,0.005084869647829608,0.08571841775958378,0.0859769169121872,2.3036912045234725,11.3341279379531,311.91994924400933,3.3207661174938248,2.8894789383603268,2.9223686893713987,2.3969781237666976
elasticity-3d,div_free,3,1,5,1000,2197,7,2.0,7.0,2.3333333333333335,2.0,0.00030671725345051434,0.009947094345960892,2.5719405844906355e-06,0.008413160585003267,0.008413160585003267,0.002973273542643343,0.002332677174042361,0.044833191089962476,0.044931674561143095,2.3036912045234725,11.3341279379531,492.94753191800555,3.3207661174938248,2.8894789383603268,2.9223686893713987,2.3969781237666976
elasticity-3d,div_free,3,1,7,200,512,7,2.0,9.0,3.0,2.6666666666666665,0.027199394057220883,0.5348050119654736,0.0005744058504319779,0.3324246439796225,0.3324246439796225,0.17637736341606522,0.1602288686018573,1.9556891238945888,1.9636264725362578,2.3036912045234725,11.3341279379531,64.05966072098818,4.3672290513144905,4.123804357337858,3.2632879063667652,2.958654851356883
elasticity-3d,div_free,3,1,7,400,1000,7,2.0,9.0,3.0,2.6666666666666665,0.0058827110409766055,0.14077745328759034,8.113689785706293e-05,0.09174918409308426,0.09174918409308426,0.08362939226029789,0.04177677178691851,0.4776579874122147,0.48492373440419917,2.3036912045234725,11.3341279379531,128.6421255239984,4.3672290513144905,4.123804357337858,3.2632879063667652,2.958654851356883
elasticity-3d,div_free,3,1,7,500,1331,7,2.0,9.0,3.0,2.6666666666666665,0.0016427654046443567,0.044871463995606056,2.5038735191898425e-05,0.03285621605095336,0.03285621605095336,0.027322493557099176,0.01170334850631614,0.10528115288036868,0.10876874461901861,2.3036912045234725,11.3341279379531,170.1545787960058,4.3672290513144905,4.123804357337858,3.2632879063667652,2.958654851356883
elasticity-3d,div_free,3,1,7,600,1331,7,2.0,9.0,3.0,2.6666666666666665,0.0011113248344631098,0.029320696937466775,2.5038735191898425e-05,0.022836520818624917,0.022836520818624917,0.00872349587603654,0.004464540507016788,0.06726231782885306,0.06782564986794355,2.3036912045234725,11.3341279379531,199.1078028070042,4.3672290513144905,4.123804357337858,3.2632879063667652,2.958654851356883
elasticity-3d,div_free,3,1,7,800,1728,7,2.0,9.0,3.0,2.6666666666666665,0.00018503694173121037,0.005994413029555976,7.096834452507309e-06,0.004536922889797191,0.004536922889797191,0.0030781258751415327,0.0014467349536944143,0.020560577427416706,0.020789713876145897,2.3036912045234725,11.3341279379531,313.3802906909841,4.3672290513144905,4.123804357337858,3.2632879063667652,2.958654851356883
elasticity-3d,div_free,3,1,7,1000,2197,7,2.0,9.0,3.0,2.6666666666666665,0.00012515836894517074,0.0036951444020957842,2.5719405844906355e-06,0.003165033292636836,0.003165033292636836,0.0012856878147144248,0.0008570424403707206,0.015351652874504088,0.01540539642904962,2.3036912045234725,11.3341279379531,506.0972158500226,4.3672290513144905,4.123804357337858,3.2632879063667652,2.958654851356883
elasticity-3d,div_free,3,1,9,200,512,7,2.0,11.0,3.6666666666666665,3.3333333333333335,0.019286365612414525,0.4205222785711104,0.0005744058504319779,0.30395692608417424,0.30395692608417424,0.6418155153319802,0.19640725156848607,1.1893800384731967,1.3514999192154464,2.3036912045234725,11.3341279379531,66.88034808100201,nan,nan,nan,nan
elasticity-3d,div_free,3,1,9,400,1000,7,2.0,11.0,3.6666666666666665,3.3333333333333335,0.0065788602755957,0.16756817306838503,8.113689785706293e-05,0.10310885858715783,0.10310885858715783,0.030956874733356548,0.026616193248091842,0.43436164279460276,0.43546339091189146,2.3036912045234725,11.3341279379531,131.98097924201284,nan,nan,nan,nan
elasticity-3d,div_free,3,1,9,500,1331,7,2.0,11.0,3.6666666666666665,3.3333333333333335,0.0028199589450844972,0.07825780179400038,2.5038735191898425e-05,0.05446886070316739,0.05446886070316739,0.018383306517649273,0.013153810840141548,0.1965115534668609,0.19736954325447675,2.3036912045234725,11.3341279379531,169.48033668397693,nan,nan,nan,nan
elasticity-3d,div_free,3,1,9,600,1331,7,2.0,11.0,3.6666666666666665,3.3333333333333335,0.0008719330095601721,0.02663208932995045,2.5038735191898425e-05,0.017182928205107972,0.017182928205107972,0.014134181335832035,0.006330454002506762,0.0669684467278762,0.0684437574887482,2.3036912045234725,11.3341279379531,204.2777233630186,nan,nan,nan,nan
elasticity-3d,div_free,3,1,9,800,1728,7,2.0,11.0,3.6666666666666665,3.3333333333333335,8.770783811513587e-05,0.0031959456502705197,7.096834452507309e-06,0.0021372986492260125,0.0021372986492260125,0.0023560234485813444,0.000934331023198204,0.011719368471134065,0.011953846404085856,2.3036912045234725,11.3341279379531,317.9490782369976,nan,nan,nan,nan
elasticity-3d,div_free,3,1,9,1000,2197,7,2.0,11.0,3.6666666666666665,3.3333333333333335,6.369515998471686e-05,0.0024094547099783818,2.5719405844906355e-06,0.0017656043839650271,0.0017656043839650271,0.0011269719628812644,0.0004439921116652106,0.005181123139049732,0.005302273360278306,2.3036912045234725,11.3341279379531,507.2153571040253,nan,nan,nan,nan
