model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
plate,trig,2,2,7,200,441,7,2.0,8.5,4.25,3.25,1.360686667384309e-06,0.0018656318594242253,5.321718100317537e-07,0.001603619779713574,0.001603619779713574,7.785421250298497e-05,1.0227247213252074e-05,0.011500893818872125,0.011501157329215852,13.202561719602466,9568.672241086171,11.102031812013593,5.1288938379553395,3.8441720616675,5.137767779816367,3.9084508729972427
plate,trig,2,2,7,400,841,7,2.0,8.5,4.25,3.25,2.9346424689621016e-08,0.00010624881068498991,5.615576186714845e-08,8.931274441385193e-05,8.931274441385193e-05,2.0382919383086442e-05,2.196833854986124e-07,0.0006444056461534614,0.000644727927266252,13.202561719602466,9568.672241086171,23.329121153001324,5.1288938379553395,3.8441720616675,5.137767779816367,3.9084508729972427
plate,trig,2,2,7,600,1225,7,2.0,8.5,4.25,3.25,5.659421084021313e-09,3.823099616390635e-05,1.598064567133973e-08,2.1101589122213008e-05,2.1101589122213008e-05,1.0565508618567706e-05,4.01782895212395e-08,0.00016814780475736787,0.00016847941778475771,13.202561719602466,9568.672241086171,34.43293972800893,5.1288938379553395,3.8441720616675,5.137767779816367,3.9084508729972427
plate,trig,2,2,7,800,1681,7,2.0,8.5,4.25,3.25,1.3901531374068294e-09,1.1471940080317818e-05,5.644892973453716e-09,7.452143546197443e-06,7.452143546197443e-06,2.9446020356266947e-06,1.0246478430164504e-08,5.674401879460664e-05,5.68203691479639e-05,13.202561719602466,9568.672241086171,58.660503451988916,5.1288938379553395,3.8441720616675,5.137767779816367,3.9084508729972427
plate,trig,2,2,7,1000,2025,7,2.0,8.5,4.25,3.25,2.6363168656405524e-10,2.812084594364135e-06,2.3443911237865876e-09,2.545488554453707e-06,2.545488554453707e-06,1.0412616410329006e-06,1.9846430126388462e-09,1.8211611454040617e-05,1.8241354597672562e-05,13.202561719602466,9568.672241086171,75.00426005700137,5.1288938379553395,3.8441720616675,5.137767779816367,3.9084508729972427
plate,trig,2,2,9,200,441,7,2.0,10.5,5.25,4.25,9.304718260443276e-08,0.00016455760095209136,5.321718100317537e-07,0.00012759164036691374,0.00012759164036691374,2.141459849868393e-05,7.158228204287136e-07,0.0008769273898305275,0.0008771888234946006,13.202561719602466,9568.672241086171,15.098352713001077,6.115136270255947,4.974848162933831,6.1363240543508155,4.983934700721727
plate,trig,2,2,9,400,841,7,2.0,10.5,5.25,4.25,1.1837255416319428e-09,3.945779831652516e-06,5.615576191378959e-08,3.295821914688483e-06,3.295821914688483e-06,7.637539108628445e-07,9.008496679045066e-09,2.2898033254252803e-05,2.2910767052834033e-05,13.202561719602466,9568.672241086171,22.582968009999604,6.115136270255947,4.974848162933831,6.1363240543508155,4.983934700721727
plate,trig,2,2,9,600,1225,7,2.0,10.5,5.25,4.25,5.277686984599586e-11,2.9742011243177135e-07,1.598064567133973e-08,2.639401858005538e-07,2.639401858005538e-07,1.1321772332852062e-07,3.971110668438771e-10,1.915552444046506e-06,1.9188953642052074e-06,13.202561719602466,9568.672241086171,35.76236645600875,6.115136270255947,4.974848162933831,6.1363240543508155,4.983934700721727
plate,trig,2,2,9,800,1681,7,2.0,10.5,5.25,4.25,8.956154350852198e-12,7.513587943076668e-08,5.644892973453716e-09,7.660427776100557e-08,7.660427776100557e-08,2.8991852191342448e-08,6.791220516152912e-11,5.001290508978974e-07,5.009686567496178e-07,13.202561719602466,9568.672241086171,51.733850357995834,6.115136270255947,4.974848162933831,6.1363240543508155,4.983934700721727
plate,trig,2,2,9,1000,2025,7,2.0,10.5,5.25,4.25,9.19731606022685e-12,9.917428558051958e-08,2.3443911237865876e-09,9.180350782723607e-08,9.180350782723607e-08,6.22895828417789e-08,6.780610130656399e-11,4.387844987813411e-07,4.4318374124215745e-07,13.202561719602466,9568.672241086171,71.09014182799729,6.115136270255947,4.974848162933831,6.1363240543508155,4.983934700721727
