model,solution,dimension,sobolev_order,activation_power,N,K,ritz_degree,ritz_ratio,saturation_index,beta_scalar_l2,beta_scalar_graph,scalar_raw_l2,scalar_raw_graph,scalar_spline_graph,scalar_projected_graph,scalar_attainable_graph,tensor_raw_l2,tensor_l2_floor,tensor_raw_divergence,tensor_raw_graph,scalar_exact_norm,tensor_exact_norm,seconds,order_scalar_l2,order_scalar_graph,order_tensor_l2,order_tensor_graph
plane-stress,default,2,1,7,200,441,7,2.0,8.5,4.25,3.75,8.249679559055764e-09,3.6480716284031277e-07,9.568058532794189e-11,3.5044637302457385e-07,3.5044637302457385e-07,7.718260758328863e-08,6.431496099038865e-08,2.22968572780133e-06,2.2310212010813127e-06,2.2836308025822403,15.00403549730772,9.477944680998917,4.6550558507870825,4.071492929874737,4.804991025860082,4.238749724093282
plane-stress,default,2,1,7,400,841,7,2.0,8.5,4.25,3.75,3.933218719079832e-10,2.4314171921275266e-08,5.4659383241489784e-12,2.33651004265117e-08,2.33651004265117e-08,3.492568075749759e-09,2.059308406703457e-09,1.0896774708003077e-07,1.0902370354863799e-07,2.2836308025822403,15.00403549730772,16.95852349299821,4.6550558507870825,4.071492929874737,4.804991025860082,4.238749724093282
plane-stress,default,2,1,7,600,1225,7,2.0,8.5,4.25,3.75,6.125737064725458e-11,5.980899043773754e-09,1.14025603771028e-12,4.9467693720368265e-09,4.9467693720368265e-09,1.265424240030201e-09,4.0496293563389793e-10,2.6318670732951204e-08,2.6349074512338347e-08,2.2836308025822403,15.00403549730772,27.621095623995643,4.6550558507870825,4.071492929874737,4.804991025860082,4.238749724093282
plane-stress,default,2,1,7,800,1681,7,2.0,8.5,4.25,3.75,2.1793904640684793e-11,2.162685592756992e-09,3.1671572132350756e-13,1.9715799563178404e-09,1.9715799563178404e-09,2.504904341505347e-10,9.288383248676871e-11,6.805365544964151e-09,6.809973983664412e-09,2.2836308025822403,15.00403549730772,42.32710625999607,4.6550558507870825,4.071492929874737,4.804991025860082,4.238749724093282
plane-stress,default,2,1,7,1000,2025,7,2.0,8.5,4.25,3.75,3.3685788628081655e-12,3.587072577068987e-10,1.6201773031934682e-13,3.537495171584935e-10,3.537495171584935e-10,8.447695426222622e-11,2.376073982596207e-11,2.121459594322373e-09,2.123140872891827e-09,2.2836308025822403,15.00403549730772,59.36822613199183,4.6550558507870825,4.071492929874737,4.804991025860082,4.238749724093282
plane-stress,default,2,1,9,200,441,7,2.0,10.5,5.25,4.75,2.0913185350438443e-10,1.0488174062024023e-08,9.568058532794189e-11,9.623243691894867e-09,9.623243691894867e-09,1.8931894464195487e-09,9.384525779547158e-10,3.221138816957259e-08,3.226697528574557e-08,2.2836308025822403,15.00403549730772,13.443648148997454,6.026241598740605,5.552380218000602,5.506458482548135,5.135539582996614
plane-stress,default,2,1,9,400,841,7,2.0,10.5,5.25,4.75,4.173501494424783e-12,2.4229123636161686e-10,5.465926111765658e-12,2.3394578708077293e-10,2.3394578708077293e-10,3.6048348196428277e-11,1.5328901510593395e-11,8.412501018050326e-10,8.420221001818591e-10,2.2836308025822403,15.00403549730772,19.63999870500993,6.026241598740605,5.552380218000602,5.506458482548135,5.135539582996614
plane-stress,default,2,1,9,600,1225,7,2.0,10.5,5.25,4.75,1.135588660954953e-13,8.96388480620244e-12,1.1402606811211026e-12,3.019061428886883e-11,3.019061428886883e-11,2.0517147361852766e-12,8.889970334751789e-13,5.73945520254328e-11,5.743121220694189e-11,2.2836308025822403,15.00403549730772,28.601037070009625,6.026241598740605,5.552380218000602,5.506458482548135,5.135539582996614
plane-stress,default,2,1,9,800,1681,7,2.0,10.5,5.25,4.75,2.1938945264364392e-14,2.0400243916427844e-12,3.166995165206035e-13,3.9714909319039886e-11,3.9714909319039886e-11,4.501416624775405e-13,1.7075238087558626e-13,1.2235380530174024e-11,1.2243658123063532e-11,2.2836308025822403,15.00403549730772,44.41397872600646,6.026241598740605,5.552380218000602,5.506458482548135,5.135539582996614
plane-stress,default,2,1,9,1000,2025,7,2.0,10.5,5.25,4.75,2.950155278179957e-14,3.067958701826582e-12,1.6201773031934682e-13,5.807708116341206e-11,5.807708116341206e-11,1.243916243749917e-12,2.7310410921012294e-13,1.526441394095719e-11,1.5315014220768883e-11,2.2836308025822403,15.00403549730772,55.823181070998544,6.026241598740605,5.552380218000602,5.506458482548135,5.135539582996614
